User Name,User Profile,Rating,Review Title,Review,Date
Sunshineprimo,www.tripadvisor.com/Profile/Sunshineprimo,5,A must stop for 24 hour power ,"Dal Bhat power 24 hour. One time toilet-never shower during the trek only. Before the trek you have stop in and try the dal bhat. Locals swear by it and so do I. Affordable, fresh and a wide variety of continuously delicious refills while sipping...More",25-Sep-17
kunjus2014,www.tripadvisor.com/Profile/kunjus2014,4,DELICIOUS FOOD,"I went for dinner and the food was amazing,Pork Momo and pork Thali was to die for,Suggest all of you to go and try once  if you are fan of momo.",15-May-17
PloyKk,www.tripadvisor.com/Profile/PloyKk,5,"Once Visited, Must Return!","We ordered buckwheat with mutton curry set. It was new and different, but tasted good. The mutton was very tender and delicious. There were a lot of locals eating there, which proves the food is authentic. The price was reasonable. Do not miss this place.",16-Apr-17
toont370,www.tripadvisor.com/Profile/toont370,5,Real taste of Napali food with reasonable price!,"This place offers Thakali - Nepali foods, of which taste are believed to be authentic (based on local customers in this place).  The good thing is the price, which you can note to be relatively reasonable considering the fact that it is located in Thamel.",15-Apr-17
cassieh940,www.tripadvisor.com/Profile/cassieh940,5,Best dhal bhat in Nepal,"It might be a stretch but Thakali never fails to disappoint. We have been going here for over 7 years and it is ALWAYS our first stop when we arrive back in Nepal.
Quick service, delicious fresh food and locals everywhere which is always a...More",05-Apr-17
gdinesh,www.tripadvisor.com/Profile/gdinesh,5,Authentic Nepali delight,This place is not easily noticed due to busy street garnered with signboards all over Thamel street. We found it difficult to spot it as it was in the first floor in a building at a street corner. The waiters were super fast in service....More,19-Mar-17
Rajankarki1,www.tripadvisor.com/Profile/Rajankarki1,5,Yummmy Dal bhat!,My wife and I went there with a friend and we all had dal bhat there. The food was delicious and we are planning to visit again.,04-Dec-16
G9661DSryank,www.tripadvisor.com/Profile/G9661DSryank,5,Excellent Nepali food,We just had an excellent and affordably priced thali lunch.  It would appear that they have changed locations and are now a short walk northwest of Thamel. I have submitted a location update request for their listing.  Highly recommended.,24-Nov-16
HillsideRosie,www.tripadvisor.com/Profile/HillsideRosie,5,"Good food, great price",One of the best value for money place to eat in Kathmandu. Reasonably priced food and great taste. I love eating here.,31-Mar-16
NeelavSamratDe,www.tripadvisor.com/Profile/NeelavSamratDe,4,Great Nepali food,"Had lunch here. A typical Nepali restaurant that offers local style curries of buffalo, chicken, mutton and pork.

The thukpa or noodle soup is a must try. A simple affair but if you have a liking for different cookings and style, you must try the...More",15-Mar-16
HishamZarinaAnwar,www.tripadvisor.com/Profile/HishamZarinaAnwar,4,GOOD MEAL IN KATHMANDU,"Had lunch here with three friends, they serve variety of dishes, I had vegetarian set lunch which was good. Clean place, polite staff and not crowded. Their masala tea was superb.",01-Feb-16
Margaret C,www.tripadvisor.com/Profile/Margaret C,4,delicious dalbhat,"fresh food friendly atmosphere, friendly staff very quick service.  It is a clean and well presented restaurant in a good location",17-Jan-16
mustillo,www.tripadvisor.com/Profile/mustillo,5,Hands down best food in Kathmandu!! ,"I fell upon Thakali after wandering around the streets of Kathmandu and I am glad I did. For 200 rupees, i received a seemingly never-ending vegetarian Dal Bhat set which was easily the best I had during my time in Nepal. The waiters are attentive...More",03-Dec-15
bubypk,www.tripadvisor.com/Profile/bubypk,5,"A tasty restaurant in the middle of thamel, Kathmandu",I have gone to this restaurant like more than 10 times and yet it still feel nice. The food is absolutely delicious. The service is nice. They wish you every time you enter. The place was good. Only problem is if you order a bowl...More,02-Oct-15
Hammad S,www.tripadvisor.com/Profile/Hammad S,5,Best food Experience in Nepal,This was the best Nepali (Thakali) food one can enjoy while in Nepal. Price is excellent and the service is excellent and portions are large.,03-Aug-15
Gopikrishg,www.tripadvisor.com/Profile/Gopikrishg,4,Delicious Nepali thali set in Thamel,The best Nepali thali set available in Thamel with a reasonable rate.i will do recommend my friends and family to try once.,22-Jun-15
jose m,www.tripadvisor.com/Profile/jose m,4,Cheap and Good Vegetarian Thali Set meal,"The vegetarian Thali was just around 2 USD . All the sides are refillable, just ask the waiter. 
A Bit difficult to find inside the maze of Thamel, but its fairly near Buddha Mall. just google it.",05-Jun-15
Bear327,www.tripadvisor.com/Profile/Bear327,5,Absolutely delicious!,"As other reviewers already mentioned, it offers very authentic and delicious Napali food. I ordered a vegetarian Thali plate, which consists of five or six different vegetable dishes and rice. All very good. 

I was surprised that I got a refill after I finished my...More",17-Mar-15
Olly H,www.tripadvisor.com/Profile/Olly H,5,Great authentic food,"Came here for our first meal in Nepal, could not recommend more! The thakali dishes are delicious and they even come round and top you up with more! Wash down with a Nepal Ice beer - sorted",15-Mar-15
Catherine W,www.tripadvisor.com/Profile/Catherine W,5,thakali,awesome! i loved the food there!how do you make it so professionaly?I really want to know!leave a message!,01-Jan-15
MrkCpr,www.tripadvisor.com/Profile/MrkCpr,4,Great value ,This is the first place we had dinner in Kathmandu and still my favourite. I had the chicken thali and my partner had chicken chowmin. Both were tasty. The thali (selection of curries and rice) gets topped up as you eat so you definitely won't...More,01-Oct-14
Anand G,www.tripadvisor.com/Profile/Anand G,4,must experience,"i was been to Durbar Marg, Kathmandu few days ago with my friends. You must try this typical nepali thali set ...wow awesome experience.",26-Jul-14
kickgalvanic,www.tripadvisor.com/Profile/kickgalvanic,4,Delicious dal bhat at great value,"The place lacks ambiance, but it's a popular local haunt in the city--so if you're looking for authentic dal bhat in Kathmandu, then Thakali Kitchen would be an excellent choice.

After spending 9 days in the mountains for my Annapurna Base Camp trek, you would...More",05-May-14
RaySting,www.tripadvisor.com/Profile/RaySting,2,Cheap but,"More of  a locals place, so prices are cheaper than most in Thamel, no service charge either. However my wife was ill after eating here and I did not feel too good either the next day.",17-Mar-14
Samir B,www.tripadvisor.com/Profile/Samir B,5,Best Food in Kathmandu,"I went there three days in the row with my family, before my flight to the United States. We all ordered Non Vegetarian Thali. The food is prepared fresh and it is very delicious. I ate the food until I had the feeling of no...More",03-Dec-13
betty l,www.tripadvisor.com/Profile/betty l,3,Must Try,"This is another Must Try Place based on the recommendation of the Manager of my Nepalese hostel in Thamel. He asked me to order their set meal . The meal came with rice,chicken, some pickles and some other items which are refilled by the restaurant...More",29-Sep-13
AlbertH-B,www.tripadvisor.com/Profile/AlbertH-B,4,"No style at all, but super food!","Bright lighting, formica tables and metal chairs,  a real basic cafe, but the place was packed, with both locals and tourists who'd been paying attention to their guide books. We stuck with the veggie option and were not disappointed. Excellent food, freshly prepared and cooked,...More",26-Aug-13
vita c,www.tripadvisor.com/Profile/vita c,4,nice,"I like the environment of this place, I was able to sit through with my reading quietly while having the delicious set of dhal bhat. The restaurant is centrally located in the busy thamel, restaurant is clean and staff were friendly.",14-Apr-13
Paul86RS,www.tripadvisor.com/Profile/Paul86RS,2,Pieces of hair with Dal Bhat,"Time to time , i used to visit this place for special Nepali Thali, DAL BHAT. As usual, been to this place and asked the same set of food, found a piece of hair but i neglegate  and removed it. After a whole found really...More",24-Apr-12
TennVee,www.tripadvisor.com/Profile/TennVee,4,An interesting place to have a meal,"This restaurant is located at a second floor of a corner building just near the Bag Packer's Hotel and a short distance from Krua Thai restaurant. Once in the restaurant, we were met with a very busy environment during dinner time. From where I was...More",30-Jan-12
P8497MSmatthews,www.tripadvisor.com/Profile/P8497MSmatthews,5,"Safe, authentic Nepalese eatery","This is a very secret spot, up a staircase straight off the street.  It doesn't have big, bold painted signs like all the major tourist restaurants - you've got to know where it is.  I'm sorry I can't remember exactly what street corner it is...More",30-Sep-11
Jeremy C,www.tripadvisor.com/Profile/Jeremy C,4,Really authentic low-price high-quality Nepali food,"Unpretentious surroundings, extensive menu with vegetarian as well as pork, chicken and fish dishes, helpful service by part-timers, great food, mostly Nepalese but some Tibetan and Chinese style dishes. It's difficult to fault this place. OK, the decor is nothing to write home about, but...More",15-Dec-10
Shinrinyok,www.tripadvisor.com/Profile/Shinrinyok,5,Highly recommend,Big menu with a diversity of cuisine. Excellent quality. Very good value. Very pleasant staff and nice simple decor,20-Dec-22
HillsideRosie,www.tripadvisor.com/Profile/HillsideRosie,5,"Good food, great price",One of the best value for money place to eat in Kathmandu. Reasonably priced food and great taste. I love eating here.,31-Mar-16
NeelavSamratDe,www.tripadvisor.com/Profile/NeelavSamratDe,4,Great Nepali food,"Had lunch here. A typical Nepali restaurant that offers local style curries of buffalo, chicken, mutton and pork.

The thukpa or noodle soup is a must try. A simple affair but if you have a liking for different cookings and style, you must try the...More",15-Mar-16
HishamZarinaAnwar,www.tripadvisor.com/Profile/HishamZarinaAnwar,4,GOOD MEAL IN KATHMANDU,"Had lunch here with three friends, they serve variety of dishes, I had vegetarian set lunch which was good. Clean place, polite staff and not crowded. Their masala tea was superb.",01-Feb-16
Margaret C,www.tripadvisor.com/Profile/Margaret C,4,delicious dalbhat,"fresh food friendly atmosphere, friendly staff very quick service.  It is a clean and well presented restaurant in a good location",17-Jan-16
mustillo,www.tripadvisor.com/Profile/mustillo,5,Hands down best food in Kathmandu!! ,"I fell upon Thakali after wandering around the streets of Kathmandu and I am glad I did. For 200 rupees, i received a seemingly never-ending vegetarian Dal Bhat set which was easily the best I had during my time in Nepal. The waiters are attentive...More",03-Dec-15
bubypk,www.tripadvisor.com/Profile/bubypk,5,"A tasty restaurant in the middle of thamel, Kathmandu",I have gone to this restaurant like more than 10 times and yet it still feel nice. The food is absolutely delicious. The service is nice. They wish you every time you enter. The place was good. Only problem is if you order a bowl...More,02-Oct-15
Hammad S,www.tripadvisor.com/Profile/Hammad S,5,Best food Experience in Nepal,This was the best Nepali (Thakali) food one can enjoy while in Nepal. Price is excellent and the service is excellent and portions are large.,03-Aug-15
Gopikrishg,www.tripadvisor.com/Profile/Gopikrishg,4,Delicious Nepali thali set in Thamel,The best Nepali thali set available in Thamel with a reasonable rate.i will do recommend my friends and family to try once.,22-Jun-15
jose m,www.tripadvisor.com/Profile/jose m,4,Cheap and Good Vegetarian Thali Set meal,"The vegetarian Thali was just around 2 USD . All the sides are refillable, just ask the waiter. 
A Bit difficult to find inside the maze of Thamel, but its fairly near Buddha Mall. just google it.",05-Jun-15
Bear327,www.tripadvisor.com/Profile/Bear327,5,Absolutely delicious!,"As other reviewers already mentioned, it offers very authentic and delicious Napali food. I ordered a vegetarian Thali plate, which consists of five or six different vegetable dishes and rice. All very good. 

I was surprised that I got a refill after I finished my...More",17-Mar-15
Olly H,www.tripadvisor.com/Profile/Olly H,5,Great authentic food,"Came here for our first meal in Nepal, could not recommend more! The thakali dishes are delicious and they even come round and top you up with more! Wash down with a Nepal Ice beer - sorted",15-Mar-15
Catherine W,www.tripadvisor.com/Profile/Catherine W,5,thakali,awesome! i loved the food there!how do you make it so professionaly?I really want to know!leave a message!,01-Jan-15
MrkCpr,www.tripadvisor.com/Profile/MrkCpr,4,Great value ,This is the first place we had dinner in Kathmandu and still my favourite. I had the chicken thali and my partner had chicken chowmin. Both were tasty. The thali (selection of curries and rice) gets topped up as you eat so you definitely won't...More,01-Oct-14
Anand G,www.tripadvisor.com/Profile/Anand G,4,must experience,"i was been to Durbar Marg, Kathmandu few days ago with my friends. You must try this typical nepali thali set ...wow awesome experience.",26-Jul-14
kickgalvanic,www.tripadvisor.com/Profile/kickgalvanic,4,Delicious dal bhat at great value,"The place lacks ambiance, but it's a popular local haunt in the city--so if you're looking for authentic dal bhat in Kathmandu, then Thakali Kitchen would be an excellent choice.

After spending 9 days in the mountains for my Annapurna Base Camp trek, you would...More",05-May-14
RaySting,www.tripadvisor.com/Profile/RaySting,2,Cheap but,"More of  a locals place, so prices are cheaper than most in Thamel, no service charge either. However my wife was ill after eating here and I did not feel too good either the next day.",17-Mar-14
Samir B,www.tripadvisor.com/Profile/Samir B,5,Best Food in Kathmandu,"I went there three days in the row with my family, before my flight to the United States. We all ordered Non Vegetarian Thali. The food is prepared fresh and it is very delicious. I ate the food until I had the feeling of no...More",03-Dec-13
betty l,www.tripadvisor.com/Profile/betty l,3,Must Try,"This is another Must Try Place based on the recommendation of the Manager of my Nepalese hostel in Thamel. He asked me to order their set meal . The meal came with rice,chicken, some pickles and some other items which are refilled by the restaurant...More",29-Sep-13
AlbertH-B,www.tripadvisor.com/Profile/AlbertH-B,4,"No style at all, but super food!","Bright lighting, formica tables and metal chairs,  a real basic cafe, but the place was packed, with both locals and tourists who'd been paying attention to their guide books. We stuck with the veggie option and were not disappointed. Excellent food, freshly prepared and cooked,...More",26-Aug-13
vita c,www.tripadvisor.com/Profile/vita c,4,nice,"I like the environment of this place, I was able to sit through with my reading quietly while having the delicious set of dhal bhat. The restaurant is centrally located in the busy thamel, restaurant is clean and staff were friendly.",14-Apr-13
Paul86RS,www.tripadvisor.com/Profile/Paul86RS,2,Pieces of hair with Dal Bhat,"Time to time , i used to visit this place for special Nepali Thali, DAL BHAT. As usual, been to this place and asked the same set of food, found a piece of hair but i neglegate  and removed it. After a whole found really...More",24-Apr-12
TennVee,www.tripadvisor.com/Profile/TennVee,4,An interesting place to have a meal,"This restaurant is located at a second floor of a corner building just near the Bag Packer's Hotel and a short distance from Krua Thai restaurant. Once in the restaurant, we were met with a very busy environment during dinner time. From where I was...More",30-Jan-12
P8497MSmatthews,www.tripadvisor.com/Profile/P8497MSmatthews,5,"Safe, authentic Nepalese eatery","This is a very secret spot, up a staircase straight off the street.  It doesn't have big, bold painted signs like all the major tourist restaurants - you've got to know where it is.  I'm sorry I can't remember exactly what street corner it is...More",30-Sep-11
JoyShurjo,www.tripadvisor.com/Profile/JoyShurjo,4,Tasty Nepalese food: Nice momo,"I used to take my dinner in this small restaurant while I was in Kathmandu in my Nepal visit. Very tasty momo, soup, pizza as well as bhat-dal (rice, pulse, etc. traditional dishes).Reasonable price. The owner of this small restaurant was very friendly.",19-Oct-17
marcobK6935OE,www.tripadvisor.com/Profile/marcobK6935OE,4,Above average,"A little dusty place in the heart of katmandou, the restaurant is quiet and not in the touristic loop, service is fast and the menu rich; prices are low and certainly worth a visit",13-Sep-17
mullerjones234,www.tripadvisor.com/Profile/mullerjones234,5,nepali food,i have been to get typical Nepali food. i had the dal vaat  which was good but little spicy for me bcs i am not spicy lover .,31-May-17
spenvale1,www.tripadvisor.com/Profile/spenvale1,5,Traveld here in Feb 2017.,"My wife and I were walking round Thamel and saw a sign for this place and thought we'd take a look.

So glad we did what a hidden gem. Fantastic guys run this small but friendly bar. We felt welcome from the very beginning. Food...More",13-Apr-17
Nicole K,www.tripadvisor.com/Profile/Nicole K,3,Not really vegetarian friendly,"Food was good. But in my view not was i expect under ""vegetarian-friendly"". Not a big variety for veg main courses and also meat was good visible hanging in the kitchen for drying or something. Not what I want to see as vegetarian...",10-Jan-17
AbdullahBinA2,www.tripadvisor.com/Profile/AbdullahBinA2,5,Excellent Nepali food,My wife and I went there  and we all had dal bhat there. The food was delicious and we are planning to visit again.,08-Jan-17
Lalbahadur,www.tripadvisor.com/Profile/Lalbahadur,4,tasty thakali food,Been here for dinner. I reached bit late there but they served food quickly. Tasty thakali dishes with additional serving. Loved and enjoyed the food. Its not only cheap but tasty too.,14-Nov-16
mindonhiatus,www.tripadvisor.com/Profile/mindonhiatus,4,A cheap and delicious meal with no frills.,"If you are looking for good dal bhat at a fair price this is a great place. Lot of locals seem to eat here (that's a good sign) and although it's no home cooked meal it was still flavorful and came with free refills. 

The...More",20-Oct-16
Lynette D,www.tripadvisor.com/Profile/Lynette D,2,Food was very poor - very disappointed.,My friend and I were looking for good Nepali and or Indian food and were told to try this place. We were very disappointed with the food - we actually couldn't eat what was on our plate and left. There was a huge serving of...More,17-Oct-16
Ramesh C,www.tripadvisor.com/Profile/Ramesh C,4,Nice dishes,"Restaurant is clean and quite large, it is well backed away from the main road so it is very quiet.
It has a outdoor and indoor eating areas.
Food is fantastic (esp chicken curry), authentic Newari foods (Nepali food)",23-Sep-16
志豪 蔡,www.tripadvisor.com/Profile/志豪 蔡,5,First time I try Dhal Bhat,"This restaurant was the place I ate Dhal Bhat first time,the food very delicious not only tourist but also local people like it.",22-Sep-16
Riotien,www.tripadvisor.com/Profile/Riotien,4,Great local food,"The food is excellent. Prices are slightly steep, but that's alright. Good service from the staff, though they expect big tips from tourists.",18-Sep-16
MHarshul,www.tripadvisor.com/Profile/MHarshul,5,Perfect Vegetarian Food,"The food is very simple, fresh and tasty. Visitors get a choice to sit in traditional style or on a dining table. The food offered is pure vegetarian and is perfect value for money. Its a must visit for lunch.",17-Sep-16
ashima2019,www.tripadvisor.com/Profile/ashima2019,5,Authentic nepali food,I went here with my family and we ordered Nepali thali. The food is too good. It consists of rice daal dry vegetable some pickle and chutni. It's too yummy. You can never come out dissatisfied. I crave for its food every time. So we...More,19-Aug-16
Sumitkoul,www.tripadvisor.com/Profile/Sumitkoul,5,Yummy Food,I went with my wife and had Nepali Thali as food was very yummy and Tasty and price is also Reasonable.I like Daal very much and food and Environment was neat and Clean.Staff is also very presentable.you should visit once you come to Kathmandu.,19-Aug-16
abhi_kaushal,www.tripadvisor.com/Profile/abhi_kaushal,5,Excellent food options,"Either a quick bite or full meal , this place offers all , staff is super fast in service, Nepali good is absolutely delightful.

Cheerzz",10-Jul-16
Manish D,www.tripadvisor.com/Profile/Manish D,5,Good Dal bhatt,"With my friends I had a good lunch ....really nice nepali traditional food includes rice, call, curry,pickkle ,mutton curd etc. .....highly  reccummonded this thakali kitchen especially  sho loved nepali food.",28-Jun-16
Chhatra Raj K,www.tripadvisor.com/Profile/Chhatra Raj K,4,Tasty thaklali food...,"I have visited this place time and often the food serves there is really good specially the Thakali Khans set. The food taste great,the employee are really friendly and the service is really fast.",02-Jun-16
Yasmin L,www.tripadvisor.com/Profile/Yasmin L,4,Good value Nepali food,"This is another local restaurant, well worth a visit.  Don't expect to get European style food, as the Thakali Kitchen serves predominantly local people with authentic Nepali food.  I went back this April (2016) and it is as good as ever.  I am vegetarian so...More",30-Apr-16
Shankar K,www.tripadvisor.com/Profile/Shankar K,5,Best location for everyone,I have been many time this restaurant for lunch it was just good food so if somebody want go there once have a test.,29-Apr-16
patrickw936,www.tripadvisor.com/Profile/patrickw936,4,Good Nepali food and local atmosphere,This place is located in Thamel.Still it's not a typical tourist place and you will find lots of locals there.The price is unbeatable for such a good Dhal Baat.,14-Apr-16
jbausmayer,www.tripadvisor.com/Profile/jbausmayer,5,tipical nepali food,in this restaurant you can eat for really good nepali food. it's clean and you can eat very good dahl bat..,03-Apr-16
Rickey M,www.tripadvisor.com/Profile/Rickey M,1,not the best but ok if you are hungry,"thakali foods are best in pokhara but in kathmandu there are very limited thakali resturants that serves real taste, and this definitely dont fall on that list.",25-Feb-16
Aricotine,www.tripadvisor.com/Profile/Aricotine,4,Great dhal bat,"This place filled with local people served only dhal bat when we went there. Didn't regret it! The dhal bat was excellent, the service was super friendly, and as usual an all you can eat refill!",11-Feb-16
borpee,www.tripadvisor.com/Profile/borpee,5,delicious,where we can test the real test of Nepali food. i have been to many places in December and also did some trekking i had so many DalBhat but this place have really testy food in cheap and best price. i recommend you at-lest try...More,02-Jan-16
Quest02378445868,www.tripadvisor.com/Profile/Quest02378445868,5,Excellent food and service,"This restaurant was across from our hotel, Hotel Friends Home, the food was excellent and the service even better. We ate here many times during our stay. Our server Nima offered incredible service with a smile.",08-Jun-23
Shinrinyok,www.tripadvisor.com/Profile/Shinrinyok,5,Highly recommend,Big menu with a diversity of cuisine. Excellent quality. Very good value. Very pleasant staff and nice simple decor,20-Dec-22
